 ime,open,high,low,close,Volume
2025-02-03 9:30:00,513.47,513.54,512.58,513.28,85501
2025-02-03 9:31:00,513.22,513.88,512.98,513.81,37627
2025-02-03 9:32:00,513.9,514.39,513.65,514.02,34127
2025-02-03 9:33:00,514.03,514.25,513.52,513.62,31471
2025-02-03 9:34:00,513.55,513.89,513.27,513.66,31860
2025-02-03 9:35:00,513.69,514.48,513.41,514.4,45723
2025-02-03 9:36:00,514.36,514.55,513.91,514.52,46337
2025-02-03 9:37:00,514.471,514.5,513.74,514.27,17698
2025-02-03 9:38:00,514.18,515.22,513.93,515.09,40021
2025-02-03 9:39:00,515.09,515.83,514.94,515.69,25551
2025-02-03 9:40:00,515.64,515.64,514.66,514.83,31162
2025-02-03 9:41:00,514.89,515.02,514.35,514.87,14821
2025-02-03 9:42:00,514.97,515.11,514.53,515.06,23688
2025-02-03 9:43:00,515.02,515.38,514.52,515.06,28462
2025-02-03 9:44:00,515.01,515.03,514.49,514.56,21830
2025-02-03 9:45:00,514.59,514.68,513.75,513.98,34463
2025-02-03 9:46:00,513.96,514,513.34,513.4,48615
2025-02-03 9:47:00,513.4,513.87,513.19,513.71,25950
2025-02-03 9:48:00,513.73,513.89,513.2,513.47,14008
2025-02-03 9:49:00,513.48,513.76,513.28,513.41,11317
2025-02-03 9:50:00,513.39,513.69,513.07,513.48,15062
2025-02-03 9:51:00,513.39,513.91,513.21,513.78,14156
2025-02-03 9:52:00,513.92,514.03,513.01,513.09,13859
2025-02-03 9:53:00,513.11,513.22,512.5,512.66,26888
2025-02-03 9:54:00,512.65,513.14,512.49,513.03,23173
2025-02-03 9:55:00,513.06,513.11,512.69,512.83,6922
2025-02-03 9:56:00,512.87,513.86,512.87,513.7,22037
2025-02-03 9:57:00,513.72,514.35,513.27,513.29,25183
2025-02-03 9:58:00,513.25,513.8,513.25,513.795,4899
2025-02-03 9:59:00,513.829,513.829,513.48,513.51,16170
2025-02-03 10:00:00,513.5,513.5,512.54,513.13,49404
2025-02-03 10:01:00,513.16,513.53,512.63,512.75,16670
2025-02-03 10:02:00,512.67,512.69,512,512.16,37985
2025-02-03 10:03:00,512.11,512.44,511.8,512.4,32705
2025-02-03 10:04:00,512.36,512.47,512.02,512.4,10363
2025-02-03 10:05:00,512.3,513.15,512.11,512.59,33657
2025-02-03 10:06:00,512.58,512.81,512.28,512.41,15065
2025-02-03 10:07:00,512.4,512.65,512.1,512.25,13697
2025-02-03 10:08:00,512.27,512.98,512.26,512.88,11307
2025-02-03 10:09:00,512.93,513.48,512.9,513.15,17878
2025-02-03 10:10:00,513.15,513.15,512.04,512.1,23278
2025-02-03 10:11:00,512.15,512.21,511.84,511.93,17554
2025-02-03 10:12:00,511.88,512.03,511.68,511.88,21216
2025-02-03 10:13:00,511.91,512.17,511.89,512.09,21890
2025-02-03 10:14:00,512.05,512.05,511.26,511.42,26341
