 ime,open,high,low,close,Volume
2025-02-03 9:30:00,592.67,592.92,591.92,592.86,192936
2025-02-03 9:31:00,592.91,593.36,592.72,593.32,121403
2025-02-03 9:32:00,593.34,594.06,593.34,593.87,46471
2025-02-03 9:33:00,593.89,594.13,593.43,593.61,52600
2025-02-03 9:34:00,593.61,593.85,593.18,593.54,61201
2025-02-03 9:35:00,593.51,593.7,593.32,593.65,44523
2025-02-03 9:36:00,593.66,593.66,593.14,593.47,48273
2025-02-03 9:37:00,593.46,593.49,592.94,593.19,26964
2025-02-03 9:38:00,593.13,593.89,593.07,593.83,21435
2025-02-03 9:39:00,593.83,594.37,593.755,594.3,41520
2025-02-03 9:40:00,594.25,594.26,593.63,593.79,27767
2025-02-03 9:41:00,593.79,593.92,593.51,593.67,28649
2025-02-03 9:42:00,593.7,593.95,593.46,593.83,20358
2025-02-03 9:43:00,593.83,594,593.35,593.78,71157
2025-02-03 9:44:00,593.77,593.77,593.29,593.34,22719
2025-02-03 9:45:00,593.42,593.59,592.96,593.06,36473
2025-02-03 9:46:00,593.08,593.08,592.495,592.51,29614
2025-02-03 9:47:00,592.51,593.08,592.42,593.01,31571
2025-02-03 9:48:00,593.02,593.09,592.54,592.73,25920
2025-02-03 9:49:00,592.76,592.92,592.605,592.74,25700
2025-02-03 9:50:00,592.74,592.8,592.43,592.75,23001
2025-02-03 9:51:00,592.7,593.06,592.57,592.89,26904
2025-02-03 9:52:00,592.88,593.02,592.2,592.23,33459
2025-02-03 9:53:00,592.24,592.31,591.63,591.74,53983
2025-02-03 9:54:00,591.71,592.08,591.57,592.06,29803
2025-02-03 9:55:00,591.96,592.1,591.66,591.7,33544
2025-02-03 9:56:00,591.75,592.63,591.75,592.5,20043
2025-02-03 9:57:00,592.51,592.96,592.03,592.04,24939
2025-02-03 9:58:00,592.02,592.45,592.02,592.3,43761
2025-02-03 9:59:00,592.28,592.28,592,592,21688
2025-02-03 10:00:00,591.78,591.96,591.21,591.89,61911
2025-02-03 10:01:00,591.85,592.25,591.52,591.55,18372
2025-02-03 10:02:00,591.52,591.54,591.15,591.31,22599
2025-02-03 10:03:00,591.27,591.73,591.21,591.57,43237
2025-02-03 10:04:00,591.65,591.72,591.26,591.47,30293
2025-02-03 10:05:00,591.47,592.04,591.31,591.47,37037
2025-02-03 10:06:00,591.49,591.695,591.34,591.4,20290
2025-02-03 10:07:00,591.42,591.74,591.29,591.41,16939
2025-02-03 10:08:00,591.4,591.89,591.39,591.829,33501
2025-02-03 10:09:00,591.79,592.34,591.79,592.04,35243
2025-02-03 10:10:00,592.03,592.03,591.2,591.25,39572
2025-02-03 10:11:00,591.25,591.38,591.08,591.3,25402
2025-02-03 10:12:00,591.31,591.49,591.19,591.34,11384
2025-02-03 10:13:00,591.36,591.71,591.36,591.54,15227
2025-02-03 10:14:00,591.54,591.6,590.99,591.07,33653
2025-02-03 10:15:00,591.09,591.24,591.01,591.01,18410
2025-02-03 10:16:00,591.02,591.2,590.76,591.07,20241
2025-02-03 10:17:00,591.06,591.12,590.79,590.91,11542
2025-02-03 10:18:00,590.92,590.92,590.7,590.7,15914
2025-02-03 10:19:00,590.75,590.94,590.56,590.56,9939
2025-02-03 10:20:00,590.57,590.78,590.5,590.51,21981
2025-02-03 10:21:00,590.58,592.37,590.51,592.37,69122
2025-02-03 10:22:00,592.4,592.96,592.18,592.94,65125
2025-02-03 10:23:00,592.9,593.78,592.88,593.05,72821
2025-02-03 10:24:00,593.06,595.57,593.03,595.11,119662
2025-02-03 10:25:00,595.11,596.22,595.11,595.42,131058
2025-02-03 10:26:00,595.43,595.6,594.36,595.18,82075
2025-02-03 10:27:00,595.11,596.05,595.11,595.33,50665
2025-02-03 10:28:00,595.31,595.65,594.86,595.25,56227
2025-02-03 10:29:00,595.21,596.58,595.15,596.38,63636
2025-02-03 10:30:00,596.35,596.47,595.69,595.87,41411
2025-02-03 10:31:00,595.89,596.89,595.75,596.17,48175
2025-02-03 10:32:00,596.23,596.61,595.92,596.08,44652
2025-02-03 10:33:00,596.12,596.8,596.04,596.69,38106
2025-02-03 10:34:00,596.69,597.055,596.55,596.82,52393
2025-02-03 10:35:00,596.78,597.5,596.385,597.01,48840
2025-02-03 10:36:00,597.02,597.28,596.51,596.79,38839
