 ime,open,high,low,close,Volume
2025-02-03 9:30:00,5948.14,5948.14,5937.49,5943.86,156821116
2025-02-03 9:31:00,5944.54,5950.94,5944.5,5950.84,16252045
2025-02-03 9:32:00,5950.68,5958.2,5950.68,5957.25,16231682
2025-02-03 9:33:00,5957.66,5958.67,5952.6,5953.87,14275633
2025-02-03 9:34:00,5953.78,5956.21,5951.07,5953.46,14437487
2025-02-03 9:35:00,5953.45,5955.98,5951.85,5955.58,15234926
2025-02-03 9:36:00,5955.56,5955.72,5950.55,5952.92,20291410
2025-02-03 9:37:00,5953.07,5953.39,5948.26,5950.8,13604601
2025-02-03 9:38:00,5950.8,5957.75,5949.48,5956.98,13669500
2025-02-03 9:39:00,5957.19,5961.89,5956.64,5961.89,12376840
2025-02-03 9:40:00,5961.81,5961.81,5955.64,5957.4,11827900
2025-02-03 9:41:00,5957.23,5957.86,5954.25,5956.58,11523990
2025-02-03 9:42:00,5956.71,5957.98,5954.31,5957.2,10765800
2025-02-03 9:43:00,5957.16,5958.1,5953.16,5957.03,12126170
2025-02-03 9:44:00,5956.55,5956.55,5952.71,5954.65,10072170
2025-02-03 9:45:00,5953.15,5953.79,5948.51,5949.64,10918040
2025-02-03 9:46:00,5949.63,5949.63,5943.41,5944.27,12218830
2025-02-03 9:47:00,5943.83,5948.66,5942.82,5947.96,11947390
2025-02-03 9:48:00,5948.15,5948.33,5943.93,5944.82,10108130
2025-02-03 9:49:00,5945.75,5947.35,5944.67,5945.52,11394790
2025-02-03 9:50:00,5945.31,5946.87,5943.18,5944.8,11489120
2025-02-03 9:51:00,5945.36,5949.09,5944.48,5948.33,10599850
2025-02-03 9:52:00,5948.08,5949.25,5940.59,5940.94,10691730
2025-02-03 9:53:00,5940.83,5941.79,5935.51,5936,9936540
2025-02-03 9:54:00,5935.99,5938.52,5934.61,5938.51,9643370
2025-02-03 9:55:00,5938.14,5939.1,5935.01,5935.63,8806400
2025-02-03 9:56:00,5935.66,5944.38,5935.66,5943.02,10608120
2025-02-03 9:57:00,5943.4,5947.66,5939.46,5939.46,10470090
2025-02-03 9:58:00,5939.41,5942.98,5939.32,5942.02,9565290
2025-02-03 9:59:00,5942.02,5942.02,5939.98,5940.24,8813060
